"ID","Customer_Age","Churn","CHI_Month0","CHI_0_1","Support_Cases_Month0","Support_Cases_0_1","SP_Month0","SP_0_1","Logins_0_1","Blog_Articles_0_1","Views_0_1","Days_Since_Last_Login_0_1","pred_prob","pred_class"
109,40,"No",0,-125,0,0,0,0,-8,0,-216,6,0.310387266931066,"No"
1971,30,"No",0,-113,0,0,0,0,-23,0,69,7,0.252384196193038,"No"
76,45,"No",1,-70,0,0,0,0,-7,-1,0,3,0.201600853119151,"No"
1363,41,"Yes",0,-34,0,0,0,0,-9,0,0,26,0.194374647719365,"No"
299,14,"Yes",14,-101,0,0,0,0,-4,-1,-16,9,0.193690489854415,"No"
14,57,"No",0,0,0,0,0,0,0,0,0,31,0.186917859469396,"No"
1929,28,"No",7,-40,0,0,0,0,0,0,-30,31,0.18668555789214,"No"
3,55,"No",0,0,0,0,0,0,0,0,0,31,0.182913600270361,"No"
1286,22,"No",20,-77,0,0,0,0,-2,-2,82,12,0.174600180671535,"No"
1236,21,"No",0,-35,0,0,0,0,0,0,9,31,0.169834562156523,"No"
183,42,"No",0,-17,0,0,0,0,-1,0,0,25,0.168845387287611,"No"
2080,29,"No",4,-25,0,0,0,0,0,0,76,31,0.166385373101131,"No"
2289,34,"No",30,-10,0,0,0,0,0,0,-1174,31,0.156774402806073,"No"
1204,22,"No",25,-40,0,0,0,0,0,0,430,31,0.155412083580085,"No"
95,46,"No",6,6,0,0,0,0,10,0,0,31,0.154666343137611,"No"
2924,25,"No",0,-19,0,0,0,0,0,0,15,31,0.154447577579639,"No"
89,46,"No",4,4,1,1,2,2,10,0,0,31,0.15172518821135,"No"
798,14,"No",0,-30,0,0,0,0,0,0,1,31,0.150502618837199,"No"
106,38,"No",0,0,0,0,0,0,0,0,0,30,0.149419454206004,"No"
1393,39,"No",3,3,0,0,0,0,0,0,-46,31,0.148087487042855,"No"
1693,18,"No",0,-23,0,0,0,0,0,0,14,31,0.147850060469631,"No"
1395,35,"No",0,0,0,0,0,0,0,0,0,31,0.146488572538436,"No"
2235,35,"No",0,0,0,0,0,0,0,0,0,31,0.146488572538436,"No"
123,44,"No",10,-25,0,-1,0,-2,-4,0,-5,18,0.141702912164873,"No"
1155,23,"No",41,-33,0,0,0,0,0,0,279,31,0.140314374280023,"No"
116,45,"No",68,-7,1,1,0,0,22,0,-7,31,0.139224840903841,"No"
1110,30,"No",8,-3,0,0,0,0,0,0,0,31,0.13742446274456,"No"
240,13,"No",0,-22,0,0,0,0,0,0,-4,30,0.136713678127995,"No"
